text,labels
tvnhinhi thơ hay quá bác ơi,[8]
xe hay ngoài ấy thích thể hiện bản thân quá hâh cười,"[0, 25]"
bộ phim hay nhất từng xem,"[2, 8, 1]"
ngại vì chúng ta chưa quen nhau để 1 thời gian đi rồi mày mới biết tôi khùng điên như thế nào vui,"[0, 19]"
nắng nóng bỏ moẹ dội chút cho mát thôi mà,"[24, 25]"
2 ngày trước em bị stress em mệt mỏi mất bình tĩnh ngủ không được dù giờ đã đỡ nhưng video của chị vẫn luôn luôn hữu ích hôm em bị stress nhờ mấy video asmr của chị mà ngủ được đó yêu chị quántr,"[9, 10, 3]"
mắt còn xanh như bé không anh,[27]
kim_3856 ủa có chuyện gì vậy sao chửi cậu đó vậy sợ hãi,"[13, 15, 17]"
thông mình thật là thông mình,[0]
bọn mấy bà thì quyền lực vãi rồi,[27]
chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy,[27]
mình hôm nay mới xem thấy rất ý nghĩa cảm ơn thầy,[9]
per anh ơi mua đập 1 phát vào mặt tụi chê mình đi anh,[24]
thương con quá sao cái đám giáo viên và tài xế vô trách nhiệm như vậy,"[24, 21]"
chỉ cần đừng đen là được,[17]
cần 1 thời gian dài thật dài nữa thì ý thức mới đi lên được,[27]
chỉ cần chọn đúng người đúng thời điểm thôi,"[5, 12]"
ngày xưa có đĩa phim này bố đi công tác về thấy cái đĩa tên là cô dâu 15 tuổi má ăn chửi sấp mặt,"[0, 13]"
cười con mấy cái video toàn đóng vào mỏ nhau không cười tụt quần,[2]
thì rõ ràng là bịa mà cơ bản để cảnh tỉnh suy nghĩ của con người hiện nay thôi bạn,[23]
nuôi sao mà trông béo tốt thế kia vậy chỉ bí quyết đi,"[0, 14, 13]"
vui đàn ông mà nặng tình vãi lol ra,"[0, 12, 21]"
đó là do bạn ngu đéo biết chọn chỗ viết,[23]
annie nguyễn đi cm né cc vui,[2]
ông nào viết vui tính thế cười cưng thật,[2]
mình hiền mà lúc cáu là chỉ im lặng không nói gì thì là sao ta suy nghĩ,"[21, 25, 14]"
dume tao từ giờ sẽ bỏ thích cái page này buồn nghiệp mà,[23]
sắp có thực đơn món mới vui,"[1, 2]"
cái ông aamir khan đóng phim nao cũng hay và ý nghia hết,"[8, 2]"
hên quá không đam mê mấy món này,[10]
lê nhị vâng mẹ nhạ mặc áo đàng hoàng mới cho đi xe nha,[6]
nguyễn tấn tài tôi đã nói là tôi không muốn nói về cái vde đấy sao bạn cứ hướng câu chuyện sag 1 hướng khác đee lmj nhỉ,[25]
cái thứ 2 mình thấy lạ lòn bạn gái người ta ăn quên chỉnh tóc người ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái độ chán chán,[23]
ủng hộ kiện ccmnl,[11]
o nhà đất mà sạch sẽ,[11]
thế đàn ông có thường gục ngã trước một đứa con gái xấu không vậy nên đó là chuyện thường tình đàn ông mê sắc đàn bà mê tiền mỗi giới một đam mê đó là công bằng khi nào mày yêu một con xấu đi rồi hãy nói đạo lol,[23]
yv quậy điên,[0]
muốn mở công xưởng hay mọi cái đều dễ tạo một đế chế cho mình cũng được việt nam đất chật người đông chanh nhau từng viên gạch đi đường nhiều khi còn xô vào nhau âm binh nặng lắm,[25]
hoan vũ chỉ có bố mẹ mới làm được điều đó thôi,"[3, 20, 21]"
linglingvnwl thanks for the translation nars x lingling kwong narsserumcushionxlingling linglingkwong หล งหล งคอง,[9]
ngu thì chết thôi,[23]
chịu luôn vui,[0]
nghe tự hào đến nổi da gà muôn năm,"[7, 8, 1]"
hở vui em nãy ta ngại quá buồn không dám nói iu mi,"[19, 3, 0, 17]"
4 năm đại học lười không học bh bắt đầu lại rồi nay lại nghe thấy đoạn không có gì là quá muộn cảm thấy có động lực hơn hẳn cảm ơn anh rất nhiều vì những chia sẻ,"[18, 9, 5]"
ừ tôi ngại,[19]
cuộc sống đầy những điều tốt cảm ơn bạn,"[2, 9]"
cảm ơn thầy rất nhiều ạ tuổi 18 nhiều bất ổn có được người chia sẻ em cảm thấy rất biết ơn,"[9, 10]"
đừng có xàm lồn trên này,[23]
thắng trịnh làm ship nó bạc thật anh,[23]
ui rùi có khi nào nó sập lại thành lập phòng khám khác bọn này ác quá trời là ác,"[24, 23]"
per cười đặt bánh thì đặt thành cặp nhé cười,[2]
mia mia tội cố ý giết người thì tháng về 2 lần thôi,"[24, 25]"
per chị đã kịp đi chỗ này chưa,[27]
my tam chuđào xuân lộc ghê điên dị chời,"[23, 24, 25]"
buồn cười nhất cái đoạn cã lũ bạn đồng thanh chó nó lấy,[2]
bông hoa nhài cắm bãi cứt trâu vui,"[0, 23]"
chữ tao từ lớp 3 đã kiểu như thế nào và còn đẹp hơn nhé,[2]
toi wa,"[6, 21]"
nào mua lô hàng xịn xò về cho bớt tai nạn vui,"[0, 1]"
sao đúng bài mày kết vậy,[27]
về đi em trai trên đời này còn thiếu gì đàn ông việc gì phải vậy con gái không yêu mình thì mình yêu con trai vậy đó vui,"[0, 6]"
nguyễn hoàng giang làm chiếc chạy cafe đi chợ đi dạo đi anh chiếc santafe đi xa hay đi đông người thì lấy chạy vui,"[2, 11, 0, 1]"
những người như thế này tử hình,"[23, 24]"
ly hôn kiểu này thì không cần tới bước cuối cùng chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý định ly hôn luôn rồi cười,[2]
hay qua hoc theo cho vui,[2]
tớ không ưa cái mặt to của mình chút nào,"[19, 25, 20, 21]"
thuỳ dung tụi nó cũng có vừa đâu xui là 2 ô kia đánh dã man quá lại bị ghi hình lại,[26]
phải chi có người để giận mình nhỉ buồn,"[4, 21]"
khanh nguyen ủa tự hào việt nam hỏi chấm,"[15, 7]"
hậu quả của các video bầy đàn trên facebook tiktok,[25]
chúc mừng anh đã bình an trở về,"[2, 10, 6]"
per đúng chất em lun hâha,[2]
mọi thứ ở việt nam tốt thật nhưng mà còn tính cách con người và mạng xã hội thì đáng sợ hơn,"[16, 26]"
có thật không vậy trời khó tin ghê á khiến người ta không thể không nghĩ ngờ,"[13, 15]"
là thằng đàn ông phải có bản lĩnh từ khi còn bé thay vì hay bắt nạt quát tháo đàn bà thì hãy là người che chở yêu thương mong con zai của mẹ sau này cũng như mấy anh này,[2]
công trình 850 năm tuổi xây dựng 100 năm mới hoàn thành chỉ còn là đống cháy sắt vụn,"[20, 22, 21]"
đức nhân apple danh hỏi người ta biết danh là ai không mà giờ danh trốn thế này nên mọi người vẫn chưa biết được danh là ai,[0]
cái gì nó cũng phải thực tế,[12]
đề này cũng bình thường mà đâu có khó,[12]
tao quen rồi,[10]
per đọc vài dòng là lướt xuống cuối để xem có phải hi vọng câu chuyện mình vừa bịa ra nhưng không phải cười,[2]
bé giỏi toán quá nên cô giáo mất dạy luôn,[27]
per dã man,"[16, 17, 13]"
tự ti lắm em mang khẩu trang rất đau tay,"[21, 19]"
dm tuổi thơ tao lại toàn ba thằng hãm lol độc chép bài đùa đùa đéo cho chép chúng nó chửi sấp mặt luôn,"[24, 25]"
per gặp tao chắc tao đái trong vần,"[16, 17]"
2 việc này ở đâu vậy xin đia chỉ mình gửi đồ cho,"[6, 14]"
quyết định liều tiêm hay quyết định liều tiêm cười,"[0, 15]"
đứng nhất tại trừ phí nhiều chứ khỉ gì mới lãnh lương xong là trừ không đki dịch vụ gì hết mà tháng nào cũng trừ tới lúc cần giải quyết ra đợi cả buổi rồi lại hẹn cả tuần,[24]
em cũng đang stress cực kì nhưng nhờ có video của chị em thấy khá hơn em cám ơn chị yêu thương yêu thương,"[10, 9]"
anh ấy nói đúng vầy vừa người ta dọn cũng khổ người ta chứ phục vụ xong lại phải dọn nữa,"[20, 25]"
nhưng đứa bạn thân đều là lũ khốn,[24]
cậu lái xe nói chưa thấy sai gì đỗ dưới đường chứ có đỗ vào phòng khách nhà mình đâu mà kêu,[26]
per mày cũng cắt tóc giống thế đi cho đẹp cười,[2]
mong bà khoẻ mạng để vui bên con cháu,"[4, 6]"
may không mang xẻng ra hót xác về,"[23, 24]"
per cấm dừng đỗ đâu cụ thớt,"[15, 25, 26]"
chủ nhật xem chiếc video này thấy cùng vibe của những u30 thiệc luôn chúng mình hãy cứ tận hưởng hành trình và hạnh phúc nhé các bạn trẻ cố lên nào,"[2, 5, 6]"
per vẽ đẹp cũng có thú vui của nó mày vui,[2]
liliana knight ý mình nói là tất cả người thân thương của bạn ấy bạn ạ hôm qua mình đọc được bài báo nói là bạn ý sắp kết hôn nhận được tin mẹ bạn ý không tin mình là người ngoài đọc đến đoạn ấy còn thắt tim huống chi bố mẹ bạn ấy thế mà chỉ 1 câu day dứt và hối hận mà thoát tội thì thật là không công bằng tí nào cả,"[21, 22, 24]"
không biết có chuyện gì nên nói rõ sao làm gì kỳ,"[0, 1]"
nhớ hồi euro 2012 rực sáng trong màu áo tuyển ý ghi mấy bàn mà bàn nào cũng thấy phê,[2]
dạo này tự dưng có 1 thói quen có gì thắc mắc hoặc khó khăn trong cảm xúc là lại vào kênh giang ơi và tìm 1 video về chủ đề mà mình quan tâm nghe xong thấy nhẹ lòng quá mà chủ đề gì cũng có luôn yêu thương,"[9, 10, 3]"
quá ác cầu xin,"[23, 26, 24]"
nó chỉ muốn chén mày thôi thật đấy,[27]
per 2 con hay cap màn hình nhất thế giới nói chuyện với nhau toàn cười ỉ chán chán chán,"[2, 0]"
lan anh khi đón là đủ ha gì đó xuống xe không đủ không ktra,[25]
đây là đâu cái này là như nào thế,"[14, 15]"
đm đi học bị mấy con điên này đuổi cắn dume vì nó mà tao sợ quá chạy té sấp mặt luôn trầy hết con mẹ nó tay chân thứ dòng đỹ gì đâu á vui,"[16, 24, 0]"
việc đớn đau nhất là nhường người mình yêuu nhất cho 1 người khác buồn buồn buồn chỉ vì đơn giản không muốn ai phải đau buồn,"[18, 21, 22]"
mất đi một di sản chứng tích của lịch sử,[21]
tao cũng hay nằm mơ con mèo của mình nó về tao tưởng thật nên khóc cả trong mơ lẫn ngoài đời nhưng nó đâu có thể về được nữa,[21]
bản thân cố gắng cũng chẳng dễ dàng gì buồn,[21]
người yêu có thể có nhiều nhưng mạng sống chỉ có 1 chế nhể,[27]
hồi học lớp 5 bảo bố đi mua sách giáo khoa cho xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sách giáo khoa đến vở bài tập,"[0, 2, 21]"
sbiet,[14]
ngáo như con cáo rồi,[27]
jay nguyen tôi không biết chử i thề cứu tui bà,"[16, 17, 25]"
đó cũng là cái cốt lõi cái then chốt thúc đẩy ông phát tiển sách lược của mình bằng cái tâm và cái tầm,[27]
ý nghĩa và đáng suy ngẫm thật,[2]
tôi lên facebook không phải để coi mấy cái thứ này,"[25, 20]"
bếp dầu thời bao cấp,[27]
999 lượt lưu kìa,[0]
mình khai thái sỹ pháp không cho bơ hút trân châu nưa nha,"[6, 17]"
hai yen có lần ở nhà một mình nửa đêm có tiếng mèo kêu thề khi đó tôi không dám động đậy xong nằm khóc vì quá sợ luôn ý mặc dù tôi thích mèo nhưng nửa đêm mà vậy nên,"[16, 21]"
nhân quả đến sớm lắm đăng lên làm gì vui,[27]
con gái không thích con trai đầu hói vì cưới về dễ nhầm đầu dân,[2]
thấy về việt nam là yêu thương liền cảm thấy tự hào quá yêu thương yêu thương,"[3, 7]"
nguyễn thị thùy dung chuẩn luôn mình đàn ông nhưng thấy nhục thay cho thằng chồng khốn nạn này,[23]
chúc mừng em và chúc em học tập tốt ngành học đã chọn niềm tự hào của tây bắc,"[2, 7, 8, 6]"
xa ngã vào những trò đỏ đen buồn,"[18, 21]"
đôi khi đang chơi thế nào tôi có cảm giác bị tách khỏi cuộc chơi nên từ từ rời khỏi là lựa chọn tốt nhất,"[21, 12]"
trà my lạo nhứt đội 4 đó à văn thơ không ai qua,[27]
mỗi lần nghe bài hát này và những tin tức về việt nam nổi cả da gà vì tự hào,"[1, 7]"
tự dưng cụt con mẹ nó 1 tay trong 66 năm chả để làm đéo gì nhìn bẩn bựa vkl,[23]
bạn trẻ quá nhìn gương mặt bạn không nghĩ bạn 40 tuổi bạn thật truyền cảm hứng,"[8, 11]"
phải có biện pháp gì với mấy người vịch nợ,"[25, 24]"
tự nhiên thấy nhột nhột hả,[0]
trương hạnh công dân qua mua hòm ủng hộ cho thực tế chứ chúc không thảo mai quá bạn,"[25, 26]"
từ từ để cái não 2g loag cái đã chán,"[15, 25]"
xin lỗi bà nha áo tui hơi giãn,[19]
nghe anh chia sẻ em mới biết anh u40 nhìn anh quá trẻ luôn,"[8, 13]"
răng xấu mũi tẹt làm mình tự ti nhất,"[21, 19]"
mấy anh chị ngoài 30 trả lời có đúng như vậy không ạ buồn,[14]
tâm sự không đúng người ngoài việc họ cười vào mặt bạn,"[19, 20]"
muốn nhanh thì phải từ từ cười,"[12, 0]"
lấy vợ xong béo quá rồi hình như ai cũng vậy à,[21]
xấu mặt nhiều mụn da đen lùn buồn,[21]
còn giữ 2 cái đĩa cổ này luôn á ghê hông,[2]
câu chuyện thật cục súc vui,[0]
hối hận khi được sinh ra đời để ai cũng coi mình rẻ mạc buồn,"[18, 23]"
buồn buồn buồn buồn buồn,"[21, 22]"
xã hội giờ càng ít nói như tao thì càng ngoan hiền,[27]
tao còn thay đồ trước mặt đám bạn thân,[18]
chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà,[2]
chỉ cần đủ quan trọng họ sẽ làm tất cả những gì bạn thấy vui,[27]
chấp nhận ông đi sai làn rồi còn gì người ta đang đi ông tạt vào họ nhưng bố kia chửi cũng sai vui,"[0, 26, 25, 11]"
mặt hiền phúc hậu quá em trai chúc trại hòm em trai làm ăn phát đạt,"[0, 8, 2]"
này hai đứa đã đi niềng răng chưa chưa thì đi niềng đi rồi quay lại nhé nhởn ra cười như hai đứa thần kinh nhé,[23]
tự hào người việt nam,[7]
căn bản cái chết không ngờ nó lại dã man thế không đọc truyện mà xem đoạn này sốc luôn nhưng với tôi thì mấy cái chết trong got vẫn là cảm xúc nhất,"[13, 21]"
toàn anh đẹp trai đau tim tan nát cõi lòng của tao anh anh,[2]
nguyễn huy mạnh bẩn thỉu ghê nhổ là sai nắm luôn rồi,[25]
việt nam tôi đó yêu thương,"[3, 7]"
thời thổ tả,"[23, 25]"
ngoại tình là một nghề của loại người có người ngoại tình vì sợ thích có người ngoại tình kiếm bữa cơm có nguo ngoại tình kiếm bữa nhậu có người ngoại tình vì thằng đó tớ cao phong độ có người ngoại tình vì công việc miếng cơm nhưng tất cả dòng họ con cái phải gánh chịu những hậu quá như thế nào thì phải chờ thời gian trả lời,"[24, 25]"
tối cầu hôn sáng cầu hồn,"[0, 21]"
per hàng hiếm nhà mình,[2]
tốt mà chuẩn nhé nước nào cũng vậy thôi,[11]
vui chốt lại câu là bà mẹ vừa thương con di học thêm về muộn vừa muốn có nhiều thời gian bên con sao cái gì cũng muốn vậy thuê hẳn mấy cái thằng viết content để khích lệ con hay gì thua ở trường dạy như nào thì học có nhu cầu có năng lực thì hãng học thêm còn sợ vất vả thì nghỉ ở nhà cho khỏe,"[25, 26]"
cũng may là hết thời đi học rồi không lại từ con nhà người ta nó lại được nhắc liên tục trong bữa ăn hàng ngày,[2]
họ vui là được rồi vui,[2]
những thằng như này không xứng đáng làm con người vui,[23]
tui bị một bạn ghét chỉ vì tớ xấu,"[21, 19]"
hạnh phúc quá bạn ơi,[2]
vì ai cũng có mối quan tâm riêng,[27]
bún cá khi nào người thân của cậu này bị như thế cậu ấy mới hiểu được vui,"[25, 21, 22]"
thương quá nhìn con mà rớt nước mắt cũng may là còn gặp được người tốt cảm ơn các anh chị em đã đã co tâm,"[9, 21, 6]"
chug tần số thì như ngoại,[0]
lúc đó em yêu tôi là thật bây giờ em hận tôi cũng là thật anh xin lỗi vì đã tồi tệ,[18]
còn me co nó lô i đi vê mất me thi lô i vê quê không co nó anh em chỉ vì tiền mà anh lìa bỏ chị trên em dưới anh em không bằng người rưng nước lã,"[20, 22, 24, 21]"
mình ngại không nói chuyện chúng nó bảo tập làm người tự kỉ,[19]
serum trị thâm sẹo chị hổng có nhu cầu,[27]
chủ tus giỏi sử,[8]
nangoc84 bạn có thể tìm hiểu cách tạo thu nhập phụ tiết kiệm chi phí hoặc tìm công việc khác để đảm bảo không bị vướng vào vòng xoáy nợ nần,"[5, 6]"
khớp vãi cười mặt con bé,[2]
tôi chưa bao gio cảm thấy hối hận,"[7, 27]"
dễ thương đáng yêu cưng,"[3, 6, 2]"
ha thanh trải nghiệm đúng không,[5]
khớp vãi cười mặt con bé,[0]
glenn ăn cái lôi ô bát quái bỏ cmn xem,[25]
được đỡ tốn 5 nghìn,"[10, 11]"
nói ra xong thấy ngại,[19]
trách ai bây giờ đây buồn,"[18, 21, 22]"
thương,"[6, 21, 3]"
tát cho phát đêm hôm mất con mẹ nó ngủ,[24]
khongdongx53939 cảm ơn tấm lòng của anh,[9]
phong nguuyen đọc bài chưa chú hay mới đọc tựa bài thôi,[14]
đó căn bản chỉ là phép lịch sự tối thiếu thôi,"[26, 25, 20]"
tôi là người sài gòn đưa bà này ra gánh thay thôi chứ không phải tự nhiên bả nói vậy,"[25, 24]"
đối với thế giới này bà lão chỉ là một ai đó nhưng đối với ông lão đó bà lão là cả thế giới vui,[2]
đúng cmnr,[11]
tụi nhỏ dễ thương quá,[2]
má tao xem mà lo thằng quay phim tét không à có ai như tao không,"[0, 17, 25]"
per muốn coi cái khúc vẩy xong rồi dừng lại làm sao ấy cười,[14]
cũng nhờ thầy khắt khe uốn nén bỏ thói hư tật xấu bây giờ mỗi lần họp lớp đều nhắc tới thầy và vô cùng kính trọng,"[8, 9, 7]"
nội bộ lục đục được nước thả câu lại nhường cho 30 cổ phần cho trung quốc thế là thương hiệu việt nhưng công nghệ trung quốc chán chán,[25]
lại ngáo đá rồi,[23]
per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa vl không chị đọc thấy viết khập khiễng quá vui,"[25, 26]"
nếu có thể quay lại tôi thề ngày hôm ấy tôi sẽ không bao giờ bỏ đi tôi ước có thể quay ngược thời gian,"[18, 4]"
cám ơn bạn đã chia sẻ góc nhìn rất hay và mong bạn ra nhiều video tiếp theo,"[9, 8, 4]"
nguyễn thìn hình mình hoạ thoy,[27]
cho c mù mắt tao đi,[0]
hay lắm thằng anh giúp 2e thêm yêu lao động,"[2, 8, 7]"
trần bắc em 92 cũng vẫn học lớp lá lớn hơn chút thì mới được học nhà xây,"[20, 21]"
hãy nên trân trọng những người bạn như vậy,[2]
phương thảo khổ thânn bọn này cứ cho kịch khung không thì phải 30 năm nó mới chừa,"[24, 25, 23]"
nguyễn hạ vy chắc là tiêm nhầm thuốc độc cười,"[0, 24, 25]"
hú hồn,[16]
vũ tuấn anh đúng không tôi cũng nghĩ giống bạn,[0]
tam bao hd vậy thô nhưng thật,"[0, 27]"
mình thấy bài này là bài chi tiết tiếp nối kiến thức của bài kiểm soát cảm xúc rất hay luôn,"[11, 2]"
hết muốn ăn luôn,[23]
tình anh em thật đáng khâm phục vui vui vui,"[2, 8, 3]"
giang phan em thấy bên này càng ngày càng lắm người bị bệnh tâm lý ấy ghê lắm,"[16, 17, 23]"
em không thể hiểu bản thân mình được vậy hệt như hai phiên bản khác nhau vậy ban ngày đi học có thể tự tin tích cực lạc quan có lẽ đây được coi là vỏ bọc sau cái sự lạc quan đó về đến nhà chỉ muốn gặm nhấm cái sự tiêu cực và khóc thật lớn thèm được khóc em muốn khóc đến cái nỗi mà mặc dù em không gặp phải chuyện gì hết nhưng em vẫn muốn đào lý do để khiến mình khóc đó là một điều rất kì lạ em có nhiều bạn thậm chí là rất nhiều nhưng có lẽ trong số đó không ai là bạn thực sự cả vì em sợ phải làm bạn thực sự với ai đó lúc đó mình sẽ càng đẩy họ ra xa hơn và em đang bắt đầu thích làm mọi thứ một mình em thích việc ở một mình và suy nghĩ về bản thân mình rồi tự khóc ôi điên thật,"[15, 18]"
phải chi có ai đối với tao như này ha nghĩ lại mình không bằng cả chó aiyo,[21]
per một thời mình ở bên nhau yêu thương yêu thương yêu thương yêu thương nhớ ghê,[2]
tao thì đéo phân biệt đâu là gà đâu là vịt đâu là nhãn đâu là vải,[27]
đéo bít sợ là gì đến lúc chết lại đổ cho tại số,[23]
tao lại thích chua lè chua loét chứ vui,[0]
bài học 1 5 nhìn 4 chạm 3 nghe 2 ngửi 1 nếm 2 tư duy 3 3 phương pháp thở,[27]
và cuối cùng là được đối xử như một thằng con trai luôn,[21]
per anh tặng vợ cái bát nha kaka,[2]
mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần sợ hãi,"[16, 21, 25]"
bị đánh bại bằng đòn mông nổi ô nhục đến chết cũng không hết nổi,[19]
2 từ giá như buồn,"[18, 21]"
per cái mặt nhỏ đó gióng em vui khi nghe tiếng súng,[0]
1 kìa rồi ra cổng gọi thế nào vui,[16]
cho dù em có dành được bao nhiêu học bổng đi chăng nữa nhưng mãi mãi em sẽ không thể có được tôi,"[0, 20]"
tối nghiệp các anh quá,"[17, 21]"
ác độc tức giận,[24]
nhảy không lo nhảy còn quay quay,[23]
rụng tim buồn,"[16, 17, 21, 22]"
trần mạnh tùng nhà nào đấy để em đi kể anh vui,"[14, 4]"
trần tôi yến quyên yến ngọc nghe chưa mấy cưng,[14]
tài sản thời bao cấp,[27]
hoan cảnh này đang de giúp,[6]
lãng mạng ghê,"[8, 1, 2]"
thật là một sự mỉa mai,[27]
sợ vãi,[16]
cho người việt sang với nhà ở miễn phí là được vui,[0]
ước gì được chọn lại buồn,"[18, 21]"
ai cũng từng bị bố mẹ chửi mắng em ấy cũng vậy là người lớn chúng ta lắng nghe và chia sẻ nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được chả bằng được cái đứa con nít còn tỏ vẻ ta đây,[24]
đáng yêu vậy,[2]
ý là đi cầu thang máy không hơn à mà phải bắc thang chi,"[0, 26]"
tại không biết nói gì nghĩ được nhưng không nói được,"[21, 15]"
hối hận nhất là yêu 1 người không yêu mình,[18]
nhiều người nói con này giả ngu câu thích nhưng xem lại nhiều lần thấy nó ngu thiệt chứ không phải giả bộ,[23]
hong phải người hâm mộ cũng hong biết nhiều về nhóm và anh nhưng mong là không phải thật buồn,"[17, 20, 21]"
ra viện tăng chục cân vui,"[0, 2, 1]"
thế là đã phần nào đoán được kết quả cuộc gặp tại hà nội,[27]
đi đường ghét nhất bọn loi choi kiểu này gặp ngay bác vô lăng cứng tỳ cho phát thế là nhớ đời thằng loi choi,"[25, 23]"
phạm quyên đọi phim này lâu lắm rồi đấy đi xem không,[1]
chọn đúng là đúng nếu chọn sai thì hãy cố gắng thật sự để biến sự lựa chọn sai đó thành đúng đắn nhất của cuộc đời em,[5]
việc nhỏ như vậy mà hai con này hàng sử thiếu văn hóa quá quá,[23]
chuẩn bài cười tui có bạn không nhiều nhưng phân biệt ra từng cụm riêng,"[0, 11]"
sài gòn vẫn có cách sống rất nhân văn,"[8, 11, 7]"
oaaaaaaa thực sự rất tạo động lực và niềm tin cho người khác đó 3 rất thích nụ cười và sự thoải mái tự tin của anh chị 3,"[2, 3, 8]"
có thịt bò nướng là ngon rồi bày đặt kiến đốt,"[24, 25]"
hoàng thành link shopee,[27]
mỹ hạnh mái ấm hoa hồng bữa mình đi nè mày,"[27, 2, 1]"
đẹp trai quá,[2]
dễ thương mà,[2]
chứ sao nữa làm gì có chuyện người ta đỗ đúng mà lại gây tắc đường chỉ có những người mắt hay bị ngứa cho rằng sẽ gây tắc đường thôi ạ,[23]
kiểu bạn này sợ không thay đổi được luôn ấy anh,"[16, 20]"
anhkhoa nguyen chắc mày cũng nhiệt tình như thằng giờ nhể,[5]
còn chả có ai nói chuyện thân thiết quan tâm đến tôi,[21]
thử im lặng xem như nào,[27]
thế mà ở với nhau được 3 mặt con tôi cũng ạ luôn ạ,"[20, 21]"
nó đi theo gái thì co,[23]
bọn phục vụ nhà bếp toàn là chó chó mới ăn thịt thúi bẩn như vậy,"[23, 24]"
nó ngáo đá nay nó leo cột điện mợ cứu nó xuống mai nó làm vài mạng người,"[16, 24, 25]"
chưa từng hối hận bất cứng đều gì chuyện gì củng đều có lý do cả,[27]
điều đó là đương nhiên,"[11, 2]"
um,[11]
chuẩn rồi bác vui,[2]
giọng mình thì như tát vào mặt người nghe,"[19, 20, 25]"
ác vãi,"[24, 25]"
bạn hay có cái từ đúng không ở cuối mỗi câu bỏ đi or dùng đúng lúc được nội dung bạn truyền đạt nó mượt mà hơn,"[25, 26]"
mình luân đi coi phim chồng ơi,"[2, 1]"
mấy con yêu nghiệt ngày xưa nội có nuôi 2 con cứ ra đằng sau là nó dí chạy muốn tuột mẹ quần chán chán,[16]
không liên quan nhưng tôi muốn nói là bộ phim nhà tù shawshank thật sự tuyệt vời mỗi lần chán nãn không có sức sống tôi đều tìm xem lại mỗi lần xem là một trãi nghiệm khác nhau tóm lại là đỉnh,"[2, 8, 12, 1]"
ông bà mình mất hết rồi xem mà nhớ quá,"[21, 22]"
agribank thì bình quân bao nhiêu nhỉ mấy cán bộ agri thấy hách lắm,"[25, 26, 14]"
nhìn mặt héo queo luôn,"[20, 21, 23]"
ôi tao đã tìm được người cùng hành tinh,"[0, 2, 13, 1]"
tư cách của người hành nghề,[27]
per đang ăn mà sao cứ chỉa trym vô hoài z khắm sao ăn,[23]
chảy cả nói chuyện mắt,[27]
vô tình gặp cảnh chẳng may chứ ra chợ mà mua thì vô vàn lắm,"[20, 25]"
thôi thì giả tạo đến phút chót cho tròn chữ hãm lồn,"[23, 25]"
ngại thôi,[19]
cho bỏ cái ngu đậu xe ẩu tả,[23]
tôi là người sài gòn chắc giữ lại cho chị ăn thôi buồn buồn,"[3, 6, 21]"
ngọc bích nghe đồn quỳnh như 2 năm nx lấy chồng,"[13, 14]"
đù tròn ung ủng chân tay ngẵn cũn như tao nhảy sao,[0]
vâng chú ah cười,[2]
vụ này xử sao,"[14, 15, 25]"
giá như tôi có thể quay lại quá khứ và gỡ bỏ hết tất cả là một con người bình thường không ganh gét đua đòi không ham chơi theo bye bye và con biết ơn con thương gia đình mình lắm vui,"[18, 4, 9]"
một phần là do bên đó một khi mà người ta đã nhờ được mình làm gì đó một vài lần thì sẽ có nhiều lần sau đó nữa thành ra mình trở thành tên chạy vặt không công mà mình lại không nỡ từ chối vì không từ chối thì mình thiệt còn từ chối thì lại bị ghét vậy nên thà rằng ngay từ đầu bị ghét thì mình sẽ không hoặc đã từng bị phí công vào một ai đó nữa,[25]
một hôm nào đó như bao hôm nào,[27]
ốm mặt mụn mắt một mí nhỏ mũi tẹt môi dày to da ngâm lùn tóc mỏng dễ bết không giỏi mặt mụn giọng kì buồn,"[19, 21]"
thật tội nghiệp chủ gì mà ác thế mong các cơ quan và những nhà hảo tâm giúp đỡ gia đình cháu,"[21, 22, 24, 6]"
đây là cách các chàng trai thu hút sự chú ý của các cô gái hả,"[14, 13, 15]"
hóa ra là vậy à cười,"[12, 0]"
tối ngày tôi cứ bị stress vì kinh tế thật nhưng xem nhiều người như này tôi thấy tôi còn may mắn lắm cảm ơn cuộc đời đã nhẹ nhàn với tôi,"[9, 10, 5]"
chơi mất dậy gặp tao là tiễn theo điện thoại luôn,[23]
per nhện kìa cười,[2]
tao cũng hay sử dụng chiêu này và bọn đàn ông vẫn cứ bị lừa,[2]
mẹ đang buồn ỉa mà trên đường về gặp mớ gờ giảm tốc kia thì phọt bà ra quần sợ hãi,[16]
tội nghiệp có rất nhiều em ở nông thôn bị như vậy buồn,"[6, 21, 22]"
